,precision,recall,f1-score,support
angry,0.40134907251264756,0.28502994011976046,0.3333333333333333,835.0
disgust,0.8928571428571429,0.25773195876288657,0.4,97.0
fear,0.3805309734513274,0.2304394426580922,0.2870493991989319,933.0
happy,0.6829030686799805,0.8184471687098658,0.7445565586829528,1713.0
neutral,0.4069319640564827,0.5368331922099915,0.4629426798101497,1181.0
sad,0.3763132760267431,0.360146252285192,0.36805231200373656,1094.0
suprise,0.6459390862944162,0.6534017971758665,0.6496490108487556,779.0
accuracy,0.5152291917973462,0.5152291917973462,0.5152291917973462,0.5152291917973462
macro avg,0.5409749405541058,0.44886139313166507,0.4636547562682657,6632.0
weighted avg,0.5039267031108884,0.5152291917973462,0.49997541035115955,6632.0
